Target,Relation,Publications
@GENE_ELANE,associate,1
@GENE_EPO,associate,1
@GENE_ERVK_13,associate,1
@GENE_ESR2,associate,1
@GENE_ETL2,associate,1
@GENE_ETL6,associate,1
@GENE_F2,associate,1
@GENE_FASLG,associate,1
@GENE_FGFR3,associate,1
@GENE_FKBP5,associate,1
@GENE_FMTLE,associate,1
@GENE_FOXG1,associate,1
@GENE_FOXO3,associate,1
@GENE_FOXO4,associate,1
@GENE_FTO,associate,1
@GENE_FUNDC1,associate,1
@GENE_GADD45B,associate,1
@GENE_GALR1,associate,1
@GENE_GALR2,associate,1
@GENE_GHRL,associate,1
@GENE_GJD2,associate,1
@GENE_GLUD1,associate,1
@GENE_GPER1,associate,1
@GENE_GPHN,associate,1
@GENE_GPX4,associate,1
@GENE_GRIN2B,associate,1
@GENE_GRM2,associate,1
@GENE_GSDMD,associate,1
@GENE_GSTK1,associate,1
@GENE_H19,associate,1
@GENE_HAAO,associate,1
@GENE_HAMP,associate,1
@GENE_HCN1,associate,1
@GENE_HCN2,associate,1
@GENE_HDAC1,associate,1
@GENE_HDAC2,associate,1
@GENE_HIF1A,associate,1
@GENE_HLA_C,associate,1
@GENE_HLA_DQA1,associate,1
@GENE_HLA_DQB1,associate,1
@GENE_HLD,associate,1
@GENE_HMOX1,associate,1
@GENE_HPGDS,associate,1
@GENE_HSPA9,associate,1
@GENE_HSPB1,associate,1
@GENE_HSPD1,associate,1
@GENE_HTR1A,associate,1
@GENE_ID4,associate,1
@GENE_IFNA,associate,1
@GENE_IGKV5_2,associate,1
@GENE_IGKV7_3,associate,1
@GENE_IL10RA,associate,1
@GENE_IL13,associate,1
@GENE_IL2,associate,1
@GENE_JUN,associate,1
@GENE_KCNC3,associate,1
@GENE_KCND2,associate,1
@GENE_KCNF1,associate,1
@GENE_KCNH3,associate,1
@GENE_KCNJ10,associate,1
@GENE_KDM1A,associate,1
@GENE_KDR,associate,1
@GENE_KEAP1,associate,1
@GENE_KHDRBS1,associate,1
@GENE_KIR2DL4,associate,1
@GENE_KL,associate,1
@GENE_KLK1,associate,1
@GENE_LAMA5,associate,1
@GENE_LAMP2,associate,1
@GENE_LEAP2,associate,1
@GENE_LEPR,associate,1
@GENE_LOC108348108,associate,1
@GENE_MAOA,associate,1
@GENE_MAOB,associate,1
@GENE_MAP2K1,associate,1
@GENE_MAP2K2,associate,1
@GENE_MAP3K11,associate,1
@GENE_MAP3K5,associate,1
@GENE_MAPK14,associate,1
@GENE_MAPK3,associate,1
@GENE_MECP2,associate,1
@GENE_MEF2C,associate,1
@GENE_MEG3,associate,1
@GENE_METTL3,associate,1
@GENE_MIR1202,associate,1
@GENE_MIR142,associate,1
@GENE_MIR146,associate,1
@GENE_MIR182,associate,1
@GENE_MIR184,associate,1
@GENE_MIR195,associate,1
@GENE_MIR21,associate,1
@GENE_MIR223,associate,1
@GENE_MIR23A,associate,1
@GENE_MIR451A,associate,1
@GENE_MIRLET7B,associate,1
@GENE_MSRB3,associate,1
@GENE_MT1,associate,1
@GENE_MT2,associate,1
@GENE_MT3,associate,1
@GENE_NCAM1,associate,1
@GENE_NCAN,associate,1
@GENE_NDE1,associate,1
@GENE_NDEL1,associate,1
@GENE_NEAT1,associate,1
@GENE_NEFL,associate,1
@GENE_NGB,associate,1
@GENE_NGFR,associate,1
@GENE_NHP2,associate,1
@GENE_NOL3,associate,1
@GENE_NOTCH3,associate,1
@GENE_NPRL2,associate,1
@GENE_NR3C2,associate,1
@GENE_NRGN,associate,1
@GENE_NRP1,associate,1
@GENE_NUP62,associate,1
@GENE_ODC1,associate,1
@GENE_OPHN1,associate,1
@GENE_P2RY1,associate,1
@GENE_P2RY2,associate,1
@GENE_P2RY4,associate,1
@GENE_P53_PS,associate,1
@GENE_PARP1,associate,1
@GENE_PCDH19,associate,1
@GENE_PDE4D,associate,1
@GENE_PHB,associate,1
@GENE_PHGDH,associate,1
@GENE_PIK3CG,associate,1
@GENE_PINK1,associate,1
@GENE_PLEC,associate,1
@GENE_PLG,associate,1
@GENE_PLP1,associate,1
@GENE_PON1,associate,1
@GENE_PPARG,associate,1
@GENE_PPARGC1A,associate,1
@GENE_PPP1R1B,associate,1
@GENE_PRDX6,associate,1
@GENE_PRKCB,associate,1
@GENE_PRKCD,associate,1
@GENE_PRKCG,associate,1
@GENE_PRSS12,associate,1
@GENE_PSEN2,associate,1
@GENE_PSENEN,associate,1
@GENE_PTEN,associate,1
@GENE_PTGDR,associate,1
@GENE_PTGDS,associate,1
@GENE_PTGER2,associate,1
@GENE_PTGER4,associate,1
@GENE_PTGS2,associate,1
@GENE_PTK2B,associate,1
@GENE_PTPRA,associate,1
@GENE_PVALB,associate,1
@GENE_RBFOX1,associate,1
@GENE_RBFOX3,associate,1
@GENE_RCVRN,associate,1
@GENE_RGN,associate,1
@GENE_RIMS1,associate,1
@GENE_RIPK3,associate,1
@GENE_RNASET2,associate,1
@GENE_RPS6KA1,associate,1
@GENE_S1PR2,associate,1
@GENE_SEMA3B,associate,1
@GENE_SERPINA1,associate,1
@GENE_SHC1,associate,1
@GENE_SIRT3,associate,1
@GENE_SLC12A2,associate,1
@GENE_SLC17A7,associate,1
@GENE_SLC1A1,associate,1
@GENE_SLC2A4,associate,1
@GENE_SLC5A7,associate,1
@GENE_SLC6A11,associate,1
@GENE_SLC6A12,associate,1
@GENE_SLC9A1,associate,1
@GENE_SMAD3,associate,1
@GENE_SOCS2,associate,1
@GENE_SOCS3,associate,1
@GENE_SOD2,associate,1
@GENE_SORL1,associate,1
@GENE_SP1,associate,1
@GENE_SP2,associate,1
@GENE_SP4,associate,1
@GENE_SPHK2,associate,1
@GENE_SPTAN1,associate,1
@GENE_SRXN1,associate,1
@GENE_SST,associate,1
@GENE_STAT3,associate,1
@GENE_STIP1,associate,1
@GENE_SYN1,associate,1
@GENE_SYNPR,associate,1
@GENE_SYT4,associate,1
@GENE_TFAP2A,associate,1
@GENE_TGFBR2,associate,1
@GENE_TGM2,associate,1
@GENE_TH,associate,1
@GENE_THY1,associate,1
@GENE_TLN2,associate,1
@GENE_TLR2,associate,1
@GENE_TNC,associate,1
@GENE_TNFRSF10A,associate,1
@GENE_TNFRSF10B,associate,1
@GENE_TNFRSF10C,associate,1
@GENE_TNFRSF1A,associate,1
@GENE_TNFRSF25,associate,1
@GENE_TNFSF10,associate,1
@GENE_TNIP1,associate,1
@GENE_TP63,associate,1
@GENE_TRAF2,associate,1
@GENE_TRIM65,associate,1
@GENE_TRIM69,associate,1
@GENE_TRP53_PS,associate,1
@GENE_TRP73,associate,1
@GENE_TRPM2,associate,1
@GENE_TRPM7,associate,1
@GENE_TRPV1,associate,1
@GENE_TRPV4,associate,1
@GENE_TSC1,associate,1
@GENE_TSC2,associate,1
@GENE_TSPO,associate,1
@GENE_UBA6,associate,1
@GENE_UBE2V1,associate,1
@GENE_ULK1,associate,1
@GENE_UNC13B,associate,1
@GENE_UNC5C,associate,1
@GENE_VCAN,associate,1
@GENE_VIP,associate,1
@GENE_WDR62,associate,1
@GENE_WNK3,associate,1
@GENE_WNT1,associate,1
@GENE_WNT3,associate,1
@GENE_WWOX,associate,1
@GENE_XPNPEP1,associate,1
@GENE_YAP1,associate,1
@GENE_YTHDF1,associate,1
@GENE_ZSWIM8,associate,1
